block,tx_hash,log_index,event,owner,tickLower,tickUpper,liquidity,amount0,amount1
19372213,0x6febf5d0eb5ac259f1a50ba1d16e0ff36ddb7b4c898b06c90e1d91ce8ba2f453,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67600,67610,21670216878,0,318245358
19374909,0xd6772a983454e0852c828e674c2ac0654f32191c4464057c7aca7befd092dd7f,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67680,67690,21588572086,0,318316997
19375764,0x0c7dece38fcb78388eb0266e0e323ebe04642a63120f35f05abc7ee7ab8bc1e6,10,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67920,74680,0,0,0
19376053,0xd8145a29b832e97d689926eef0aa37348c0603352d1e18203d926642040d7b3d,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63930,68930,162194012978,329253209,821059629037
19376710,0xaf0b7fd099f25939d7e9590f08511113ceae7217fd5d9bd044ba4baa2dd082b4,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67700,67710,21583036495,365543,0
19378507,0xa0f7d4759a334318ec7eb89ba54f582e7b79087c41ccaf8f2bf59ca4a5aff983,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67690,67700,21577004601,365623,0
19379414,0x3787c3fb1012bda1b56027bab1b2abfff5254d7f3291ebcad6263cc4af6cf6f8,12,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67680,67690,21566396288,365626,0
19379863,0x5ee016b2b6f55da26f46197a242e3b42229463d991f7fc10c090a5283636fc11,3,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63930,68930,162183720470,339374304,812194658755
19381219,0xfaa38449dd79c03a5030fc1098459335fc77d38eedee32ba34aabaff9559e0e9,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67670,67680,21555498414,0,317670469
19383667,0x1efbe1b3cf6df17996101a687ccd73304beccb45abfb59f92148cc6b1d8f43b5,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63940,68940,162598270892,336074464,818150863627
19385710,0x9b36b31d33a713e24e17c6605f58bf61961c6dcbbc8940800b9a8481b7e051bd,19,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67680,67690,21549573799,0,317741979
19387452,0xfc514cccdb676115cbc7d62c31d104779e5643771234f24c16332726630f78c0,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63940,68940,162587138435,311126409,839864967626
